Model;th_dec_eff;th_eff;avg_precision;avg_recall;avg_f_measure
TransE;9.6551724138;90.3448275862;0.8632;0.8712;0.8672
TransH;9.6551724138;90.3448275862;0.5800;0.5825;0.5810
RotatE;9.6551724138;90.3448275862;0.8935;0.9018;0.8976
TransD;9.6551724138;90.3448275862;0.7911;0.7980;0.7945
HolE;9.6551724138;90.3448275862;0.8707;0.8787;0.8746
TransR;9.6551724138;90.3448275862;0.8738;0.8820;0.8778
SE;9.6551724138;90.3448275862;0.8867;0.8950;0.8908
UM;9.6551724138;90.3448275862;0.8580;0.8659;0.8619
QuatE;9.6551724138;90.3448275862;0.8772;0.8853;0.8812
RESCAL;9.6551724138;90.3448275862;0.5091;0.5110;0.5100
ERMLP;9.6551724138;90.3448275862;0.7226;0.7281;0.7253
