Model;avg_precision;avg_recall;avg_f1-score
TransE;0.5018145161290323;0.5226233895017072;0.5111132272281367
TransH;0.5456530291109363;0.5694969817366714;0.5562137548729403
TransR;0.5455276357199056;0.567336996916417;0.5552118040538939
TransD;0.5531766325727773;0.5774384720852668;0.5640087755523249
RotatE;0.46469807238394967;0.48263930369687824;0.47277769599932984
QuatE;0.4512613099921322;0.46812814602728847;0.45881269292302623
HolE;0.4914314516129032;0.5084545435729593;0.49909117252108814
RESCAL;0.5206923682140048;0.5395823300090348;0.5290365171653384
UM;0.44102330841856807;0.4547344550407025;0.44730766849848835
SE;0.5131171321793863;0.5309398980060475;0.5209423368039726
ERMLP;0.4401898111723053;0.452309714081866;0.445816375261323
