Model;avg_precision;avg_recall;avg_f1-score
TransE;0.4995254720692368;0.5189399258182434;0.5082593381009064
TransH;0.5547231510621558;0.5781036566071274;0.5650804486601197
TransR;0.5396366050354052;0.5626719578291649;0.5499788897445625
TransD;0.5413134343036978;0.5655325176517499;0.5520999791198522
RotatE;0.4701367033831628;0.48683924511609283;0.4777122483664023
QuatE;0.4426214594807238;0.45707268275459373;0.44915134637139076
HolE;0.46708300550747434;0.4820930842939826;0.47398418662474134
RESCAL;0.5016079858379229;0.5176194294977472;0.5088598517634645
UM;0.44219364673485445;0.4582356416472382;0.4495107914307078
SE;0.4902291502753737;0.5066313073132183;0.49758908413402037
ERMLP;0.4258359559402046;0.4381419268761041;0.43158050030008377
