Model;th_dec_eff;th_eff;avg_precision;avg_recall;avg_f_measure
TransE;9.6551724138;90.3448275862;0.8609;0.8689;0.8649
TransH;9.6551724138;90.3448275862;0.5803;0.5830;0.5810
RotatE;9.6551724138;90.3448275862;0.8745;0.8826;0.8785
TransD;9.6551724138;90.3448275862;0.7641;0.7705;0.7673
HolE;9.6551724138;90.3448275862;0.8649;0.8728;0.8690
TransR;9.6551724138;90.3448275862;0.8684;0.8766;0.8725
SE;9.6551724138;90.3448275862;0.8785;0.8866;0.8825
UM;9.6551724138;90.3448275862;0.8561;0.8640;0.8600
QuatE;9.6551724138;90.3448275862;0.8756;0.8837;0.8796
RESCAL;9.6551724138;90.3448275862;0.5081;0.5100;0.5090
ERMLP;9.6551724138;90.3448275862;0.6852;0.6901;0.6877
