Model;th_dec_eff;th_eff;avg_precision;avg_recall;avg_f_measure
TransE;9.6551724138;90.3448275862;0.8511879699248119;0.8590239912758996;0.8550747867754371
TransH;9.6551724138;90.3448275862;0.557453634085213;0.560196292257361;0.558816234593418
RotatE;9.6551724138;90.3448275862;0.8731027568922306;0.8811205016357688;0.877079730379544
TransD;9.6551724138;90.3448275862;0.6956992481203008;0.7008042529989095;0.69823261935092
HolE;9.6551724138;90.3448275862;0.8505263157894737;0.8581652126499455;0.8543155301720138
TransR;9.6551724138;90.3448275862;0.8591578947368422;0.8671210468920393;0.8631077216396568
SE;9.6551724138;90.3448275862;0.7940551378446115;0.8008587786259541;0.7974303382066359
UM;9.6551724138;90.3448275862;0.7981353383458647;0.8050027262813522;0.8015421345233978
QuatE;9.6551724138;90.3448275862;0.8751278195488721;0.8832333696837512;0.8791482828146485
RESCAL;9.6551724138;90.3448275862;0.5030676691729322;0.5048391494002182;0.5039489779562499
ERMLP;9.6551724138;90.3448275862;0.5857443609022557;0.5888767720828789;0.5873001678800712
