Model;th_dec_eff;th_eff;avg_precision;avg_recall;avg_f_measure
TransE;9.6551724138;90.3448275862;0.8609523809523809;0.8689749182115595;0.8649316247247695
TransH;9.6551724138;90.3448275862;0.5803007518796993;0.5834787350054524;0.5818790757316281
RotatE;9.6551724138;90.3448275862;0.8784761904761904;0.8865321701199564;0.8824721395007465
PairRE;9.6551724138;90.3448275862;0.8833984962406014;0.8915757906215921;0.8874545500561005
TransD;9.6551724138;90.3448275862;0.7641604010025064;0.7705152671755726;0.7673131596041741
TransR;9.6551724138;90.3448275862;0.8684310776942356;0.8766357688113414;0.8725005694424526
HolE;9.6551724138;90.3448275862;0.8649423558897243;0.8728326063249726;0.8688561377460202
CrossE;9.6551724138;90.3448275862;0.7191578947368422;0.7247273718647765;0.7219214253777302
DistMA;9.6551724138;90.3448275862;0.8469974937343357;0.8548255179934567;0.8508803158507471
ERMLP;9.6551724138;90.3448275862;0.6852832080200502;0.6901444929116685;0.6876958249322996
QuatE;9.6551724138;90.3448275862;0.8756591478696741;0.8837377317339149;0.8796662645418729
RESCAL;9.6551724138;90.3448275862;0.5081403508771929;0.5100054525627046;0.5090680547002202
SE;9.6551724138;90.3448275862;0.8785563909774435;0.8866684841875682;0.8825801226621224
UM;9.6551724138;90.3448275862;0.8561804511278195;0.8640539803707744;0.8600858803580316
