drug,sideEffect
DB00001,Anaphylaxis
DB00001,Anemia
DB00001,Aspartate_aminotransferase_increased
DB00001,Dermatitis
DB00001,Eczema
DB00001,Epistaxis
DB00001,Exanthema
DB00001,Fever
DB00001,Gastrointestinal_hemorrhage
DB00001,Hematoma
DB00001,Hematuria
DB00001,Hemoglobin_low
DB00001,Hemoglobin_measurement
DB00001,Hemorrhage
DB00001,Hemothorax
DB00001,Hypersensitivity
DB00001,Injection_site_hemorrhage
DB00001,Injury_wounds
DB00001,Intracranial_hemorrhage
DB00001,Multiple_organ_failure
DB00001,Pneumonia
DB00001,Prothrombin_time_increased
DB00001,Rectal_hemorrhage
DB00001,Sepsis
DB00001,Shock
DB00001,Vaginal_hemorrhage
DB00001,Bleeding
DB00002,Pneumonitis
DB00003,Conjunctivitis
DB00006,Abdominal_pain
DB00006,Acute_coronary_syndrome
DB00006,Anaphylaxis
DB00006,Anemia
DB00006,Angina_pectoris
DB00006,Anxiety
DB00006,Arteriovenous_fistula
DB00006,Atrial_fibrillation
DB00006,Back_pain
DB00006,Bleeding_from_anus
DB00006,Bleeding_from_ear
DB00006,Blood_and_lymphatic_system_disorders
DB00006,Bradycardia
DB00006,Cardiac_disease
DB00006,Cardiac_tamponade
DB00006,Catheter_thrombosis
DB00006,Chest_pain
DB00006,Compartment_syndromes
DB00006,Connective_tissue_diseases
DB00006,Contusions
DB00006,Coronary_stent_thrombosis
DB00006,Coronary_thrombosis
DB00006,Dermatitis
DB00006,Dermatologic_disorders
DB00006,Disorder_of_eye
DB00006,Dyspepsia
DB00006,Dyspnea
DB00006,Ecchymosis
DB00006,Epistaxis
DB00006,Esophageal_bleeding
DB00006,Exanthema
DB00006,Eye_hemorrhage
DB00006,Fever
DB00006,Gastrointestinal_diseases
DB00006,Gastrointestinal_hemorrhage
DB00006,Gastrointestinal_pain
DB00006,Gingival_hemorrhage
DB00006,Headache
DB00006,Hematemesis
DB00006,Hematoma
DB00006,Hematuria
DB00006,Hemoglobin_low
