drugbank_id,name,pubchem_id
DB00006,Bivalirudin,101041682
DB00007,Leuprolide,657181
DB00014,Goserelin,5311128
DB00035,Desmopressin,5311065
DB00050,Cetrorelix,25074887
DB00067,Vasopressin,11979316
DB00080,Daptomycin,101589918
DB00091,Cyclosporine,5284373
DB00093,Felypressin,14257662
DB00104,Octreotide,448601
DB00106,Abarelix,16131215
DB00114,Pyridoxal phosphate,1051
DB00116,Tetrahydrofolic acid,135444742
DB00117,Histidine,6274
DB00118,Ademetionine,34755
DB00119,Pyruvic acid,1060
DB00120,Phenylalanine,6140
DB00121,Biotin,171548
DB00122,Choline,305
DB00123,Lysine,5962
DB00125,Arginine,6322
DB00126,Ascorbic acid,54670067
DB00127,Spermine,1103
DB00128,Aspartic acid,5960
DB00129,Ornithine,6262
DB00130,L-Glutamine,5961
DB00131,Adenosine phosphate,6083
DB00132,alpha-Linolenic acid,5280934
DB00133,Serine,5951
DB00134,Methionine,6137
DB00135,Tyrosine,6057
DB00136,Calcitriol,5280453
DB00137,Lutein,5281243
DB00138,Cystine,67678
DB00139,Succinic acid,1110
DB00140,Riboflavin,493570
DB00141,N-Acetylglucosamine,1738118
DB00142,Glutamic acid,33032
DB00143,Glutathione,124886
DB00144,Phosphatidyl serine,9547096
DB00145,Glycine,750
DB00146,Calcifediol,5283731
DB00147,Pyridoxal,1050
DB00148,Creatine,586
DB00149,Leucine,6106
DB00150,Tryptophan,6305
DB00151,Cysteine,5862
DB00152,Thiamine,1130
DB00153,Ergocalciferol,5280793
DB00154,Dihomo-gamma-linolenic acid,5280581
DB00155,Citrulline,9750
DB00156,Threonine,6288
DB00157,NADH,439153
DB00158,Folic acid,135398658
DB00159,Icosapent,446284
DB00160,Alanine,5950
DB00161,Valine,6287
DB00162,Vitamin A,445354
DB00163,Vitamin E,14985
DB00165,Pyridoxine,1054
DB00166,Lipoic acid,6112
DB00167,Isoleucine,6306
DB00168,Aspartame,134601
DB00169,Cholecalciferol,5280795
DB00170,Menadione,4055
DB00171,ATP,5957
DB00172,Proline,145742
DB00173,Adenine,190
DB00174,Asparagine,6267
DB00175,Pravastatin,54687
DB00176,Fluvoxamine,5361192
DB00177,Valsartan,60846
DB00178,Ramipril,5362129
DB00179,Masoprocol,71398
DB00180,Flunisolide,82153
DB00181,Baclofen,2284
DB00182,Amphetamine,3007
DB00183,Pentagastrin,9853654
DB00184,Nicotine,89594
DB00185,Cevimeline,25137844
DB00186,Lorazepam,3958
DB00187,Esmolol,59768
DB00188,Bortezomib,387447
DB00189,Ethchlorvynol,5281077
DB00190,Carbidopa,34359
DB00191,Phentermine,4771
DB00192,Indecainide,52195
DB00193,Tramadol,5523
DB00194,Vidarabine,21704
DB00195,Betaxolol,2369
DB00196,Fluconazole,3365
DB00197,Troglitazone,5591
DB00198,Oseltamivir,65028
DB00199,Erythromycin,12560
DB00200,Hydroxocobalamin,146678237
DB00201,Caffeine,2519
DB00202,Succinylcholine,5314
DB00203,Sildenafil,135398744
DB00204,Dofetilide,71329
DB00205,Pyrimethamine,4993
DB00206,Reserpine,5770
DB00207,Azithromycin,447043
DB00208,Ticlopidine,5472
DB00209,Trospium,5284632
DB00210,Adapalene,60164
DB00211,Midodrine,4195
DB00212,Remikiren,6324659
DB00213,Pantoprazole,4679
DB00214,Torasemide,41781
DB00215,Citalopram,2771
DB00216,Eletriptan,77993
DB00217,Bethanidine,2368
DB00218,Moxifloxacin,152946
DB00219,Oxyphenonium,5749
DB00220,Nelfinavir,64143
DB00221,Isoetharine,3762
DB00222,Glimepiride,3476
DB00223,Diflorasone,71415
DB00224,Indinavir,5362440
DB00225,Gadodiamide,101673418
DB00226,Guanadrel,38521
DB00227,Lovastatin,53232
DB00228,Enflurane,3226
DB00229,Cefotiam,43708
DB00230,Pregabalin,5486971
DB00231,Temazepam,5391
DB00232,Methyclothiazide,4121
DB00233,Aminosalicylic acid,4649
DB00234,Reboxetine,127151
DB00235,Milrinone,4197
DB00236,Pipobroman,4842
DB00237,Butabarbital,2479
DB00238,Nevirapine,4463
DB00239,Oxiconazole,5361463
DB00240,Alclometasone,5311000
DB00241,Butalbital,2481
DB00242,Cladribine,20279
DB00243,Ranolazine,56959
DB00244,Mesalazine,4075
DB00245,Benzatropine,1201549
DB00246,Ziprasidone,60854
DB00247,Methysergide,6540428
DB00248,Cabergoline,54746
DB00249,Idoxuridine,5905
DB00250,Dapsone,2955
DB00251,Terconazole,441383
DB00252,Phenytoin,1775
DB00253,Medrysone,247839
DB00254,Doxycycline,54671203
DB00255,Diethylstilbestrol,448537
DB00256,Lymecycline,54707177
DB00257,Clotrimazole,2812
DB00258,Calcium acetate,6116
DB00259,Sulfanilamide,5333
DB00260,Cycloserine,6234
DB00261,Anagrelide,135409400
DB00262,Carmustine,2578
DB00263,Sulfisoxazole,5344
DB00264,Metoprolol,4171
DB00265,Crotamiton,688020
DB00266,Dicoumarol,54676038
DB00267,Cefmenoxime,5361486
DB00268,Ropinirole,5095
DB00269,Chlorotrianisene,11289
DB00270,Isradipine,3784
DB00271,Diatrizoate,2140
DB00272,Betazole,7741
DB00273,Topiramate,5284627
DB00274,Cefmetazole,42008
DB00275,Olmesartan,158781
DB00276,Amsacrine,2179
DB00277,Theophylline,2153
DB00278,Argatroban,92722
DB00279,Liothyronine,5920
DB00280,Disopyramide,3114
DB00281,Lidocaine,3676
DB00282,Pamidronic acid,4674
DB00283,Clemastine,26987
DB00284,Acarbose,9811704
DB00285,Venlafaxine,5656
DB00287,Travoprost,5282226
DB00288,Amcinonide,443958
DB00289,Atomoxetine,54841
DB00290,Bleomycin,5360373
DB00291,Chlorambucil,2708
DB00292,Etomidate,667484
DB00293,Raltitrexed,135400182
DB00294,Etonogestrel,6917715
DB00295,Morphine,5288826
DB00296,Ropivacaine,175805
DB00297,Bupivacaine,2474
DB00298,Dapiprazole,3033538
DB00299,Penciclovir,135398748
DB00300,Tenofovir disoproxil,5481350
DB00301,Flucloxacillin,21319
DB00302,Tranexamic acid,5526
DB00303,Ertapenem,150610
DB00304,Desogestrel,40973
DB00305,Mitomycin,5746
DB00306,Talbutal,8275
DB00307,Bexarotene,82146
DB00308,Ibutilide,60753
DB00309,Vindesine,11643449
DB00310,Chlorthalidone,2732
DB00311,Ethoxzolamide,3295
DB00312,Pentobarbital,4737
DB00313,Valproic acid,3121
DB00314,Capreomycin,3000502
DB00315,Zolmitriptan,60857
DB00316,Acetaminophen,1983
DB00317,Gefitinib,123631
DB00318,Codeine,5284371
DB00319,Piperacillin,43672
DB00320,Dihydroergotamine,10531
DB00321,Amitriptyline,2160
DB00322,Floxuridine,5790
DB00323,Tolcapone,4659569
DB00324,Fluorometholone,9878
DB00326,Calcium glucoheptonate,62859
DB00327,Hydromorphone,5284570
DB00328,Indomethacin,3715
DB00330,Ethambutol,14052
DB00331,Metformin,4091
DB00332,Ipratropium,657309
DB00333,Methadone,4095
DB00334,Olanzapine,135398745
DB00335,Atenolol,2249
DB00336,Nitrofural,5353356
DB00337,Pimecrolimus,6509979
DB00338,Omeprazole,4594
DB00339,Pyrazinamide,1046
DB00340,Metixene,4167
DB00341,Cetirizine,2678
