drugbank_id,name,pubchem_id,stitch_id_flat,stitch_id_sterio,umls_cui_from_label,lower,upper,side_effect_name
DB00268,Ropinirole,5095,CID100005095,CID000005095,C0018772,0.01,1.0,Hearing impaired
DB00915,Amantadine,2130,CID100002130,CID000002130,C0085649,0.1,1.0,Oedema peripheral
DB00915,Amantadine,2130,CID100002130,CID000002130,C0235198,0.01,1.0,Cerebration impaired
DB00915,Amantadine,2130,CID100002130,CID000002130,C0234518,0.01,1.0,Dysarthria
DB00915,Amantadine,2130,CID100002130,CID000002130,C0233571,0.01,1.0,Agitation
DB00915,Amantadine,2130,CID100002130,CID000002130,C0220870,0.01,1.0,Dizziness
DB00915,Amantadine,2130,CID100002130,CID000002130,C0085642,0.1,1.0,Livedo reticularis
DB00268,Ropinirole,5095,CID100005095,CID000005095,C0020649,0.01,1.0,Hypotension
DB00915,Amantadine,2130,CID100002130,CID000002130,C0085631,0.01,1.0,Agitation
DB00915,Amantadine,2130,CID100002130,CID000002130,C0043352,0.01,1.0,Dry mouth
DB00915,Amantadine,2130,CID100002130,CID000002130,C0042963,0.01,1.0,Vomiting
DB00915,Amantadine,2130,CID100002130,CID000002130,C0030252,0.01,1.0,Palpitations
DB00915,Amantadine,2130,CID100002130,CID000002130,C0027769,0.01,1.0,Tension
DB00268,Ropinirole,5095,CID100005095,CID000005095,C0026946,0.01,1.0,Fungal infection
DB00915,Amantadine,2130,CID100002130,CID000002130,C0344232,0.01,1.0,Vision blurred
DB00268,Ropinirole,5095,CID100005095,CID000005095,C0021177,0.01,1.0,Libido increased
DB00268,Ropinirole,5095,CID100005095,CID000005095,C0022107,0.01,1.0,Irritability
DB00268,Ropinirole,5095,CID100005095,CID000005095,C0022650,0.01,1.0,Calculus of kidney
DB00268,Ropinirole,5095,CID100005095,CID000005095,C0023067,0.01,1.0,Laryngitis
DB00268,Ropinirole,5095,CID100005095,CID000005095,C0023518,0.01,1.0,Leukocytosis
DB00268,Ropinirole,5095,CID100005095,CID000005095,C0023530,0.01,1.0,Leukopenia
DB00268,Ropinirole,5095,CID100005095,CID000005095,C0024236,0.01,1.0,Lymphoedema
