treatment,Toxicity
"Carboplatin, Docetaxel, Pemetrexed, Vinorelbine, Allopurinol, Amlodipine, Atenolol, Lorazepam",7.0
"Carboplatin, Docetaxel, Gemcitabine, Pemetrexed, Acetaminophen, Omeprazole",6.0
"Carboplatin, Etoposide, Vinorelbine, Atenolol, Omeprazole",6.0
"Cisplatin, Docetaxel, Gemcitabine, Pemetrexed, Atorvastatin",6.0
"Carboplatin, Docetaxel, Pemetrexed, Omeprazole, Simvastatin",5.0
"Carboplatin, Gemcitabine, Paclitaxel, Vinorelbine, Atorvastatin",5.0
"Carboplatin, Paclitaxel, Atorvastatin, Levofloxacin, Omeprazole",5.0
"Crizotinib, Atorvastatin, Enalapril, Enoxaparin, Omeprazole",5.0
"Gemcitabine, Paclitaxel, Atorvastatin, Furosemide, Metformin, Omeprazole",5.0
"Carboplatin, Docetaxel, Paclitaxel, Pemetrexed, Omeprazole",5.0
"Alectinib, Ceritinib, Crizotinib, Omeprazole, Prednisone",5.0
"Cisplatin, Docetaxel, Pemetrexed, Vinorelbine, Enalapril, Omeprazole",5.0
"Carboplatin, Docetaxel, Paclitaxel, Vinorelbine, Acetaminophen, Omeprazole",5.0
"Carboplatin, Etoposide, Atenolol, Atorvastatin, Lorazepam, Metformin, Omeprazole",4.0
"Ipilimumab, Nivolumab, Atenolol, Atorvastatin, Omeprazole",4.0
"Carboplatin, Vinorelbine, Atenolol, Atorvastatin, Furosemide, Lorazepam, Metformin, Omeprazole",4.0
"Carboplatin, Etoposide, Ibuprofen, Omeprazole, Prednisone",4.0
"Carboplatin, Pemetrexed, Dexamethasone, Lorazepam, Omeprazole",4.0
"Cisplatin, Docetaxel, Gemcitabine, Pemetrexed, Vinorelbine, Metformin, Omeprazole",4.0
"Carboplatin, Vinorelbine, Acetaminophen, Allopurinol, Amlodipine, Atorvastatin, Omeprazole, Prednisone",4.0
"Carboplatin, Pemetrexed, Allopurinol, Omeprazole, Simvastatin",4.0
"Ipilimumab, Nivolumab, Atenolol, Atorvastatin, Omeprazole, Simvastatin",4.0
"Cisplatin, Paclitaxel, Atorvastatin, Enalapril, Metformin, Omeprazole",4.0
"Carboplatin, Paclitaxel, Atorvastatin, Enalapril, Omeprazole",4.0
"Carboplatin, Etoposide, Furosemide, Metformin, Omeprazole",4.0
"Carboplatin, Etoposide, Atenolol, Atorvastatin, Omeprazole",4.0
"Carboplatin, Etoposide, Allopurinol, Enalapril, Omeprazole",4.0
"Alectinib, Crizotinib, Ibuprofen, Omeprazole, Prednisone",4.0
"Cisplatin, Docetaxel, Pemetrexed, Dexamethasone, Fentanyl, Lorazepam, Omeprazole",4.0
