DrugBankID,DrugName
DB00009,Alteplase
DB00016,Erythropoietin
DB00030,Insulin_human
DB00040,Glucagon
DB00041,Aldesleukin
DB00062,Albumin_human
DB00067,Vasopressin
DB00072,Trastuzumab
DB00073,Rituximab
DB00080,Daptomycin
DB00091,Cyclosporine
DB00099,Filgrastim
DB00105,Interferon_alfa-2b
DB00112,Bevacizumab
DB00115,Cyanocobalamin
DB00126,Ascorbic_acid
DB00130,L-glutamine
DB00152,Thiamine
DB00158,Folic_acid
DB00186,Lorazepam
DB00187,Esmolol
DB00188,Bortezomib
DB00196,Fluconazole
DB00202,Succinylcholine
DB00203,Sildenafil
DB00207,Azithromycin
DB00213,Pantoprazole
DB00215,Citalopram
DB00218,Moxifloxacin
DB00230,Pregabalin
DB00257,Clotrimazole
DB00258,Calcium_acetate
DB00262,Carmustine
DB00264,Metoprolol
DB00281,Lidocaine
DB00284,Acarbose
DB00285,Venlafaxine
DB00295,Morphine
DB00297,Bupivacaine
DB00316,Acetaminophen
DB00318,Codeine
DB00319,Piperacillin
DB00327,Hydromorphone
DB00331,Metformin
DB00332,Ipratropium
DB00333,Methadone
DB00334,Olanzapine
DB00335,Atenolol
DB00338,Omeprazole
DB00341,Cetirizine
DB00343,Diltiazem
DB00355,Aztreonam
DB00361,Vinorelbine
DB00364,Sucralfate
DB00368,Norepinephrine
DB00370,Mirtazapine
DB00381,Amlodipine
DB00388,Phenylephrine
DB00390,Digoxin
DB00394,Beclomethasone_dipropionate
DB00399,Zoledronic_acid
DB00404,Alprazolam
DB00410,Mupirocin
DB00413,Pramipexole
DB00415,Ampicillin
DB00422,Methylphenidate
DB00424,Hyoscyamine
DB00425,Zolpidem
DB00433,Prochlorperazine
DB00437,Allopurinol
DB00441,Gemcitabine
DB00445,Epirubicin
DB00448,Lansoprazole
DB00451,Levothyroxine
DB00454,Meperidine
DB00455,Loratadine
DB00465,Ketorolac
DB00472,Fluoxetine
DB00477,Chlorpromazine
DB00484,Brimonidine
DB00497,Oxycodone
DB00502,Haloperidol
DB00503,Ritonavir
DB00512,Vancomycin
DB00514,Dextromethorphan
DB00515,Cisplatin
DB00520,Caspofungin
DB00526,Oxaliplatin
DB00529,Foscarnet
DB00531,Cyclophosphamide
DB00537,Ciprofloxacin
DB00541,Vincristine
DB00544,Fluorouracil
DB00557,Hydroxyzine
DB00563,Methotrexate
DB00567,Cephalexin
DB00569,Fondaparinux
DB00570,Vinblastine
DB00572,Atropine
DB00581,Lactulose
DB00582,Voriconazole
DB00584,Enalapril
DB00590,Doxazosin
DB00598,Labetalol
DB00635,Prednisone
DB00640,Adenosine
DB00642,Pemetrexed
DB00646,Nystatin
DB00650,Leucovorin
DB00653,Magnesium_sulfate
DB00656,Trazodone
DB00658,Sevelamer
DB00661,Verapamil
DB00668,Epinephrine
DB00673,Aprepitant
DB00681,Amphotericin_b
DB00682,Warfarin
DB00683,Midazolam
DB00684,Tobramycin
DB00687,Fludrocortisone
DB00688,Mycophenolate_mofetil
DB00694,Daunorubicin
DB00695,Furosemide
DB00697,Tizanidine
DB00715,Paroxetine
DB00722,Lisinopril
DB00727,Nitroglycerin
DB00738,Pentamidine
DB00741,Hydrocortisone
DB00742,Mannitol
DB00747,Scopolamine
DB00757,Dolasetron
DB00760,Meropenem
DB00761,Potassium_chloride
DB00762,Irinotecan
DB00773,Etoposide
DB00787,Acyclovir
DB00788,Naproxen
DB00798,Gentamicin
DB00813,Fentanyl
DB00818,Propofol
DB00836,Loperamide
DB00842,Oxazepam
DB00851,Dacarbazine
DB00852,Pseudoephedrine
DB00863,Ranitidine
DB00864,Tacrolimus
DB00868,Benzonatate
DB00869,Dorzolamide
DB00874,Guaifenesin
DB00878,Chlorhexidine
DB00881,Quinapril
DB00883,Isosorbide_dinitrate
DB00887,Bumetanide
DB00904,Ondansetron
DB00909,Zonisamide
DB00916,Metronidazole
DB00927,Famotidine
DB00935,Oxymetazoline
DB00938,Salmeterol
DB00945,Acetylsalicylic_acid
DB00947,Fulvestrant
DB00956,Hydrocodone
DB00958,Carboplatin
DB00959,Methylprednisolone
DB00987,Cytarabine
DB00996,Gabapentin
DB00997,Doxorubicin
DB00999,Hydrochlorothiazide
DB01001,Salbutamol
DB01005,Hydroxyurea
DB01022,Phylloquinone
DB01050,Ibuprofen
DB01067,Glipizide
DB01068,Clonazepam
DB01069,Promethazine
DB01075,Diphenhydramine
DB01076,Atorvastatin
DB01081,Diphenoxylate
DB01104,Sertraline
DB01109,Heparin
DB01110,Miconazole
DB01115,Nifedipine
DB01117,Atovaquone
DB01118,Amiodarone
DB01136,Carvedilol
DB01137,Levofloxacin
DB01141,Micafungin
DB01168,Procarbazine
DB01181,Ifosfamide
DB01190,Clindamycin
DB01202,Levetiracetam
DB01204,Mitoxantrone
DB01212,Ceftriaxone
DB01225,Enoxaparin
DB01229,Paclitaxel
DB01233,Metoclopramide
DB01234,Dexamethasone
DB01248,Docetaxel
DB01263,Posaconazole
DB01264,Darunavir
DB01275,Hydralazine
DB01284,Tetracosactide
DB01294,Bismuth_subsalicylate
DB01327,Cefazolin
DB01344,Tolevamer
DB01377,Magnesium_oxide
DB01390,Sodium_bicarbonate
DB01413,Cefepime
