treatments,Toxic,Lower Effect,Deductive-Toxic,Deductive-Lower Effect,Emergency
"Carboplatin, Paclitaxel, Atorvastatin, Levofloxacin, Omeprazole",0.4,0.1,0.5,0.1,12.0
"Carboplatin, Etoposide, Atorvastatin, Enalapril, Metformin, Omeprazole",0.26666666666666666,0.06666666666666667,0.26666666666666666,0.06666666666666667,8.0
"Cisplatin, Pemetrexed, Vinorelbine, Lorazepam, Omeprazole, Simvastatin",0.5333333333333333,0.2,0.7333333333333333,0.2,7.0
"Carboplatin, Etoposide, Ibuprofen, Omeprazole, Prednisone",0.3,0.1,0.3,0.1,6.0
"Carboplatin, Pemetrexed, Dexamethasone, Lorazepam, Omeprazole",0.4,0.4,0.6,0.5,5.0
"Carboplatin, Docetaxel, Gemcitabine, Pemetrexed, Acetaminophen, Omeprazole",0.4,0.26666666666666666,0.6666666666666666,0.26666666666666666,4.0
"Alectinib, Ceritinib, Crizotinib, Omeprazole, Prednisone",0.2,0.3,0.2,0.3,4.0
"Carboplatin, Etoposide, Amlodipine, Metformin, Simvastatin",0.4,0.1,0.5,0.1,4.0
"Carboplatin, Docetaxel, Pemetrexed, Metformin, Omeprazole, Simvastatin",0.4,0.13333333333333333,0.5333333333333333,0.13333333333333333,4.0
"Cisplatin, Gemcitabine, Paclitaxel, Vinorelbine, Allopurinol, Enalapril, Omeprazole",0.14285714285714285,0.09523809523809523,0.23809523809523808,0.09523809523809523,4.0
"Pembrolizumab, Dexamethasone, Levofloxacin, Omeprazole, Simvastatin",0.1,0.2,0.1,0.2,4.0
"Carboplatin, Pemetrexed, Dexamethasone, Levofloxacin, Omeprazole, Simvastatin",0.3333333333333333,0.2,0.4666666666666667,0.26666666666666666,4.0
"Carboplatin, Paclitaxel, Enalapril, Omeprazole, Simvastatin",0.2,0.1,0.2,0.1,4.0
"Carboplatin, Etoposide, Amlodipine, Atenolol, Omeprazole, Prednisone",0.06666666666666667,0.2,0.06666666666666667,0.2,3.0
"Cisplatin, Docetaxel, Pemetrexed, Vinorelbine, Enalapril, Omeprazole",0.13333333333333333,0.2,0.13333333333333333,0.2,3.0
"Carboplatin, Vinorelbine, Amlodipine, Levofloxacin, Omeprazole, Simvastatin",0.3333333333333333,0.13333333333333333,0.4666666666666667,0.13333333333333333,3.0
"Carboplatin, Etoposide, Amlodipine, Atorvastatin, Metformin",0.3,0.1,0.3,0.1,3.0
"Cisplatin, Vinorelbine, Atorvastatin, Furosemide, Metformin, Omeprazole",0.2,0.06666666666666667,0.4,0.06666666666666667,3.0
"Carboplatin, Etoposide, Ibuprofen, Metoclopramide, Omeprazole, Salbutamol",0.8,0.13333333333333333,1.0666666666666667,0.13333333333333333,3.0
"Cisplatin, Allopurinol, Amlodipine, Atenolol, Lorazepam",0.4,0.0,0.4,0.0,3.0
"Carboplatin, Paclitaxel, Acetaminophen, Amlodipine, Atorvastatin, Enalapril, Omeprazole, Simvastatin",0.35714285714285715,0.21428571428571427,0.7142857142857143,0.21428571428571427,3.0
"Carboplatin, Docetaxel, Pemetrexed, Vinorelbine, Allopurinol, Amlodipine, Atenolol, Lorazepam",0.35714285714285715,0.0,1.1071428571428572,0.0,3.0
"Carboplatin, Vinorelbine, Atenolol, Enalapril, Metformin, Simvastatin",0.4666666666666667,0.0,0.6666666666666666,0.0,2.0
"Carboplatin, Vinorelbine, Amlodipine, Atenolol, Atorvastatin, Enalapril, Metformin, Omeprazole",0.2857142857142857,0.07142857142857142,0.5,0.07142857142857142,2.0
"Carboplatin, Etoposide, Atenolol, Atorvastatin, Ranitidine",0.7,0.0,1.5,0.0,2.0
"Etoposide, Acetaminophen, Amlodipine, Atorvastatin, Enalapril, Omeprazole, Simvastatin",0.38095238095238093,0.2857142857142857,0.6190476190476191,0.2857142857142857,2.0
"Cisplatin, Vinorelbine, Lorazepam, Metformin, Omeprazole",0.7,0.2,0.9,0.2,2.0
"Carboplatin, Paclitaxel, Atorvastatin, Enalapril, Omeprazole",0.2,0.1,0.3,0.1,2.0
"Carboplatin, Docetaxel, Pemetrexed, Omeprazole, Simvastatin",0.2,0.2,0.2,0.2,2.0
"Carboplatin, Etoposide, Allopurinol, Enalapril, Omeprazole",0.2,0.1,0.2,0.1,2.0
"Carboplatin, Etoposide, Vinorelbine, Atenolol, Omeprazole",0.2,0.3,0.2,0.3,2.0
"Carboplatin, Pemetrexed, Vinorelbine, Lormetazepam, Omeprazole",0.0,0.2,0.0,0.2,2.0
"Cisplatin, Docetaxel, Gemcitabine, Pemetrexed, Atorvastatin",0.1,0.0,0.1,0.0,2.0
"Afatinib, Dexamethasone, Fentanyl, Lorazepam, Omeprazole",0.6,0.3,0.6,0.3,2.0
"Carboplatin, Vinorelbine, Atorvastatin, Omeprazole, Salbutamol",0.3,0.1,0.3,0.1,2.0
"Paclitaxel, Acetaminophen, Allopurinol, Amlodipine, Atorvastatin, Metformin, Omeprazole",0.42857142857142855,0.2857142857142857,0.5238095238095238,0.2857142857142857,1.0
"Cisplatin, Vinorelbine, Enalapril, Metformin, Omeprazole",0.2,0.1,0.3,0.1,1.0
"Pemetrexed, Acetaminophen, Amlodipine, Atorvastatin, Enalapril, Omeprazole, Salbutamol",0.38095238095238093,0.19047619047619047,0.38095238095238093,0.19047619047619047,1.0
"Carboplatin, Vinorelbine, Enalapril, Metformin, Omeprazole, Simvastatin",0.26666666666666666,0.06666666666666667,0.3333333333333333,0.06666666666666667,1.0
"Carboplatin, Etoposide, Atorvastatin, Enalapril, Furosemide",0.3,0.0,0.3,0.0,1.0
"Carboplatin, Paclitaxel, Atorvastatin, Enalapril, Ranitidine",0.3,0.0,0.3,0.0,1.0
"Carboplatin, Etoposide, Acetaminophen, Atorvastatin, Ranitidine",0.8,0.1,1.0,0.1,1.0
"Carboplatin, Etoposide, Atorvastatin, Enalapril, Metformin, Omeprazole",0.26666666666666666,0.06666666666666667,0.26666666666666666,0.06666666666666667,1.0
"Carboplatin, Allopurinol, Atorvastatin, Gentamicin, Metformin, Omeprazole, Simvastatin, Sulfamethoxazole, Trimethoprim",0.8333333333333334,0.0,2.4166666666666665,0.0,1.0
"Carboplatin, Etoposide, Atenolol, Atorvastatin, Omeprazole",0.5,0.1,0.7,0.1,1.0
"Carboplatin, Paclitaxel, Atenolol, Omeprazole, Simvastatin",0.7,0.1,1.7,0.1,1.0
"Carboplatin, Vinorelbine, Enalapril, Furosemide, Omeprazole, Simvastatin",0.26666666666666666,0.06666666666666667,0.3333333333333333,0.06666666666666667,1.0
"Cisplatin, Vinorelbine, Enalapril, Omeprazole, Simvastatin",0.3,0.1,0.4,0.1,1.0
"Cisplatin, Vinorelbine, Allopurinol, Atorvastatin, Gentamicin, Metformin, Omeprazole, Simvastatin, Sulfamethoxazole, Trimethoprim",0.7111111111111111,0.022222222222222223,2.3777777777777778,0.022222222222222223,1.0
